,库名,库名,库名,,,标识,有默认,默认值,,可空,数据类型,,最长,最大字节数,数字精度,小数位,时间精度,,,,,,,,,,,,,,,
,,BrokerageShares,AchievementDate,,,6,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageShares,CreateTime,,,7,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageShares,PKUserCreator,,,8,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageShares,Description,,,9,0,,10,NO,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,BrokerageShares,DeleteStatus,,,10,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BuildingTypeFacility,PKBuildingTypeFacility,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BuildingTypeFacility,PKBuildingType,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BuildingTypeFacility,PKFacility,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BuildingTypes,PKBuildingType,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BuildingTypes,BuildingTypeID,,,2,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BuildingTypes,Description,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,BuildingTypes,DisplayIndex,,,4,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKBusinessContract,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,ContractNumber,,,2,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKBusinessHouse,,,3,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKBusinessDemand,,,4,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKCompanyCustomerSell,,,5,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKCompanyCustomerBuy,,,6,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,OperateTime,,,7,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessContracts,Description,,,8,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,BusinessContracts,Status,,,9,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessContracts,ContractAmount,,,10,1,((0)),26,NO,numeric,,,,18,2,,,,,,,,,,,,,,,,
,,BusinessContracts,CommissionAmountTotal,,,11,1,((0)),26,NO,numeric,,,,18,2,,,,,,,,,,,,,,,,
,,BusinessContracts,CommissionAmountSell,,,12,1,((0)),26,NO,numeric,,,,18,2,,,,,,,,,,,,,,,,
,,BusinessContracts,CommissionAmountBuy,,,13,1,((0)),26,NO,numeric,,,,18,2,,,,,,,,,,,,,,,,
,,BusinessContracts,ContractStartTime,,,14,0,,122,YES,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessContracts,ContractEndTime,,,15,0,,122,YES,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessContracts,PKCompany,,,16,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,DeleteStatus,,,17,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKOperator,,,18,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,PKContractOwner,,,19,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessContracts,HouseType,,,20,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,PKBusinessGroupDailyReport,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,HouseType,,,3,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,Day,,,4,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,PKDepartment,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,PKUser,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DealsAdded,,,7,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DealTrackingsAdded,,,8,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DealVisitsAdded,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DealSurveysAdded,,,10,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DemandsAdded,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DemandTrackingsAdded,,,12,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,DemandVisitsAdded,,,13,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,Achievements,,,14,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,SaleAchievements,,,15,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,RentAchievements,,,16,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,OtherAchievements,,,17,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupDailyReports,CreateTime,,,18,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,PKBusinessGroupMonthlyReport,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,HouseType,,,3,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,Month,,,4,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,PKDepartment,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,PKUser,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealsAdded,,,7,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealsAddedOnLastMonth,,,8,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealsAddedOnThisMonthLastYear,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealTrackingsAdded,,,10,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealVisitsAdded,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DealSurveysAdded,,,12,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DemandsAdded,,,13,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DemandsAddedOnLastMonth,,,14,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DemandsAddedOnThisMonthLastYear,,,15,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DemandTrackingsAdded,,,16,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,DemandVisitsAdded,,,17,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,Achievements,,,18,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,AchievementsOnLastMonth,,,19,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,AchievementsOnThisMonthLastYear,,,20,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,SaleAchievements,,,21,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,RentAchievements,,,22,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,OtherAchievements,,,23,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupMonthlyReports,CreateTime,,,24,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,PKBusinessGroupYearlyReport,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,HouseType,,,3,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,Year,,,4,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,PKDepartment,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,PKUser,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DealsAdded,,,7,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DealTrackingsAdded,,,8,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DealVisitsAdded,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DealSurveysAdded,,,10,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DemandsAdded,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DemandTrackingsAdded,,,12,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,DemandVisitsAdded,,,13,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,Achievements,,,14,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,SaleAchievements,,,15,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,RentAchievements,,,16,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,OtherAchievements,,,17,0,,26,NO,numeric,,,,20,2,,,,,,,,,,,,,,,,
,,BusinessGroupYearlyReports,CreateTime,,,18,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessTracking,PKBusinessTracking,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessTracking,TrackingType,,,2,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessTracking,Description,,,3,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,BusinessTracking,Lifecycle,,,4,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessTracking,OperateTime,,,5,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BusinessTracking,DeleteStatus,,,6,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessTracking,HouseType,,,7,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessTracking,PKObject,,,8,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BusinessTracking,BusinessType,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BusinessTracking,PKOperator,,,10,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,PKChange,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,TableName,,,2,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,Changes,PKObject,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,ObjectID,,,4,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,OperateType,,,5,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,Version,,,6,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,HasFile,,,7,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Changes,ScopeType,,,8,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,SyncType,,,9,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,SyncTime,,,10,0,,26,NO,bigint,,,,19,,,,,,,,,,,,,,,,,
,,Changes,Status,,,11,1,((1)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Changes,PKUser,,,12,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,PKCompany,,,13,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,PKCity,,,14,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Changes,IsBatch,,,15,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Changes,BatchParameter,,,16,0,,106,YES,nvarchar,,4000,8000,,,,,,,,,,,,,,,,,,
,,Cities,PKCity,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Cities,CityID,,,2,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Cities,PKProvince,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Cities,City,,,4,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Cities,Enabled,,,5,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Cities,Domain,,,6,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Cities,PKPriceTypeRent,,,7,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Cities,PKPriceTypeNew,,,8,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Cities,PKPriceTypeSecond,,,9,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Cities,CityPinyin,,,10,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,Cities,CityPinyinAbbr,,,11,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,ClientChanges,ID,,,1,0,,18,NO,bigint,,,,19,,,,,,,,,,,,,-9.22337E+18,9.22337E+18,6,1,1
,,ClientChanges,TableName,,,2,0,,10,NO,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,ClientChanges,PKObject,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ClientChanges,OperateType,,,4,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,ClientChanges,HasFile,,,5,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,ClientChanges,ScopeType,,,6,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,ClientChanges,PKUser,,,7,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ClientChanges,PKCompany,,,8,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ClientChanges,PKCity,,,9,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ClientChanges,IsBatch,,,10,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,ClientChanges,BatchParameter,,,11,0,,106,YES,nvarchar,,4000,8000,,,,,,,,,,,,,,,,,,
,,ClientChanges,CreateTime,,,12,0,,26,NO,bigint,,,,19,,,,,,,,,,,,,,,,,
,,ClientChanges,Precondition,,,13,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,Communities,PKCommunity,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Communities,CommunityID,,,2,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Communities,Community,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,PKUser,,,4,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Communities,PKBlock,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Communities,IsChecked,,,6,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Communities,Address,,,7,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Communities,CommunityPinyin,,,8,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Communities,CommunityPinyinAbbr,,,9,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Communities,BuildingTypes,,,10,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Ownerships,,,11,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Developer,,,12,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Price,,,13,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Description,,,14,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,Communities,Area,,,15,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Structure,,,16,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,BuiltTime,,,17,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,Communities,LandNumber,,,18,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,Communities,Households,,,19,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Communities,ParkingUnits,,,20,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Communities,FloorAreaRatio,,,21,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,Communities,GreeningRate,,,22,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,Communities,CondoFee,,,23,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,EstateCompany,,,24,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,EstateCompanyTelephone,,,25,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Communities,Surrounding,,,26,0,,106,YES,nvarchar,,512,1024,,,,,,,,,,,,,,,,,,
,,Communities,Traffic,,,27,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,Communities,Schools,,,28,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,Communities,ReferenceCount,,,29,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Communities,CreateTime,,,30,1,('1900-1-1'),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Companies,PKCompany,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Companies,CompID,,,2,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Companies,Company,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Description,,,4,0,,234,YES,ntext,,536870911,1073741822,,,,,,,,,,,,,,,,,,
,,Companies,CompUrl,,,5,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Companies,Lisence,,,6,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Address,,,7,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Telephone,,,8,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Fax,,,9,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Cellphone,,,10,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Domain,,,11,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Companies,PKUserCreator,,,12,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Companies,CreateTime,,,13,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Companies,PKCompanyParent,,,14,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Companies,ZipCode,,,15,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Companies,Email,,,16,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Companies,Principal,,,17,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Companies,IsDisplayPrincipal,,,18,1,((1)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Companies,IsStoreEnabled,,,19,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Companies,IsChecked,,,20,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Companies,IsRealCompany,,,21,1,((1)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Companies,PKCity,,,22,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Companies,DeleteStatus,,,23,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Companies,Setting,,,24,0,,106,YES,nvarchar,,4000,8000,,,,,,,,,,,,,,,,,,
,,Companies,CompanyCommunitiesStatus,,,25,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Companies,ColumnDisplaySetting,,,26,0,,234,YES,ntext,,536870911,1073741822,,,,,,,,,,,,,,,,,,
,,CompanyBlocks,PKCompanyBlock,,,1,1,"(newid()) 
",26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyBlocks,CompanyBlockID,,,2,1,"((0)) 
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyBlocks,Name,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyBlocks,SortValue,,,4,1,"((0)) 
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyBlocks,PKCompany,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyBlocks,PKDistrict,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,PKCompanyCommunity,,,1,1,"(newid()) 
",26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,CompanyCommunityID,,,2,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Name,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Address,,,4,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,PKCompanyBlock,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,IsChecked,,,6,1,"((0)) 
",26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,CompanyCommunities,CommunityPinyin,,,7,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,CommunityPinyinAbbr,,,8,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,BuildingTypes,,,9,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Ownerships,,,10,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Developer,,,11,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Price,,,12,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Description,,,13,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Area,,,14,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Structure,,,15,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,BuiltTime,,,16,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,LandNumber,,,17,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Households,,,18,1,"(0) 
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyCommunities,ParkingUnits,,,19,1,"(0) 
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyCommunities,FloorAreaRatio,,,20,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,GreeningRate,,,21,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,CondoFee,,,22,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,EstateCompany,,,23,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,EstateCompanyTelephone,,,24,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Surrounding,,,25,0,,106,YES,nvarchar,,512,1024,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Traffic,,,26,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,Schools,,,27,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,PKCommunity,,,28,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,PKCompany,,,29,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,EnableBuildingNumberLimit,,,30,1,"((0)) 
",26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,CompanyCommunities,HouseNumberRule,,,31,1,"(0) 
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyCommunities,HouseNumberException,,,32,0,,106,YES,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,CompanyCommunities,DeleteStatus,,,33,1,"(0)
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,CompanyCommunities,UpdateTime,,,34,1,"(getdate())
",26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,CompanyCommunityBuildings,PKCompanyCommunityBuilding,,,1,1,"(newid()) 
",26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
